"","Data Series","Time","Exports"
"1616","Slovak Republic (Slovakia) (Thousand Dollars)","2018 Feb",2586
"1617","Slovak Republic (Slovakia) (Thousand Dollars)","2018 Jan",2834
"1618","Brunei Darussalam (Thousand Dollars)","2022 Jan",77716
"1619","Brunei Darussalam (Thousand Dollars)","2021 Dec",86822
"1620","Brunei Darussalam (Thousand Dollars)","2021 Nov",68707
"1621","Brunei Darussalam (Thousand Dollars)","2021 Oct",69829
"1622","Brunei Darussalam (Thousand Dollars)","2021 Sep",99576
"1623","Brunei Darussalam (Thousand Dollars)","2021 Aug",74375
"1624","Brunei Darussalam (Thousand Dollars)","2021 Jul",68665
"1625","Brunei Darussalam (Thousand Dollars)","2021 Jun",100088
"1626","Brunei Darussalam (Thousand Dollars)","2021 May",80670
"1627","Brunei Darussalam (Thousand Dollars)","2021 Apr",118678
"1628","Brunei Darussalam (Thousand Dollars)","2021 Mar",89926
"1629","Brunei Darussalam (Thousand Dollars)","2021 Feb",69131
"1630","Brunei Darussalam (Thousand Dollars)","2021 Jan",75420
"1631","Brunei Darussalam (Thousand Dollars)","2020 Dec",83374
"1632","Brunei Darussalam (Thousand Dollars)","2020 Nov",94592
"1633","Brunei Darussalam (Thousand Dollars)","2020 Oct",81584
"1634","Brunei Darussalam (Thousand Dollars)","2020 Sep",78402
"1635","Brunei Darussalam (Thousand Dollars)","2020 Aug",93730
"1636","Brunei Darussalam (Thousand Dollars)","2020 Jul",87799
"1637","Brunei Darussalam (Thousand Dollars)","2020 Jun",114980
"1638","Brunei Darussalam (Thousand Dollars)","2020 May",64689
"1639","Brunei Darussalam (Thousand Dollars)","2020 Apr",105793
"1640","Brunei Darussalam (Thousand Dollars)","2020 Mar",92062
"1641","Brunei Darussalam (Thousand Dollars)","2020 Feb",98823
"1642","Brunei Darussalam (Thousand Dollars)","2020 Jan",92138
"1643","Brunei Darussalam (Thousand Dollars)","2019 Dec",119698
"1644","Brunei Darussalam (Thousand Dollars)","2019 Nov",124789
"1645","Brunei Darussalam (Thousand Dollars)","2019 Oct",107349
"1646","Brunei Darussalam (Thousand Dollars)","2019 Sep",118286
"1647","Brunei Darussalam (Thousand Dollars)","2019 Aug",331927
"1648","Brunei Darussalam (Thousand Dollars)","2019 Jul",156786
"1649","Brunei Darussalam (Thousand Dollars)","2019 Jun",84494
"1650","Brunei Darussalam (Thousand Dollars)","2019 May",97557
"1651","Brunei Darussalam (Thousand Dollars)","2019 Apr",89014
"1652","Brunei Darussalam (Thousand Dollars)","2019 Mar",103675
"1653","Brunei Darussalam (Thousand Dollars)","2019 Feb",86002
"1654","Brunei Darussalam (Thousand Dollars)","2019 Jan",101348
"1655","Brunei Darussalam (Thousand Dollars)","2018 Dec",117328
"1656","Brunei Darussalam (Thousand Dollars)","2018 Nov",118827
"1657","Brunei Darussalam (Thousand Dollars)","2018 Oct",156877
"1658","Brunei Darussalam (Thousand Dollars)","2018 Sep",129765
"1659","Brunei Darussalam (Thousand Dollars)","2018 Aug",92118
"1660","Brunei Darussalam (Thousand Dollars)","2018 Jul",99287
"1661","Brunei Darussalam (Thousand Dollars)","2018 Jun",86846
"1662","Brunei Darussalam (Thousand Dollars)","2018 May",82405
"1663","Brunei Darussalam (Thousand Dollars)","2018 Apr",86193
"1664","Brunei Darussalam (Thousand Dollars)","2018 Mar",87982
"1665","Brunei Darussalam (Thousand Dollars)","2018 Feb",66412
"1666","Brunei Darussalam (Thousand Dollars)","2018 Jan",65711
"1667","Indonesia (Thousand Dollars)","2022 Jan",3689054
"1668","Indonesia (Thousand Dollars)","2021 Dec",3979774
"1669","Indonesia (Thousand Dollars)","2021 Nov",3928370
"1670","Indonesia (Thousand Dollars)","2021 Oct",3160397
"1671","Indonesia (Thousand Dollars)","2021 Sep",2962949
"1672","Indonesia (Thousand Dollars)","2021 Aug",3084471
"1673","Indonesia (Thousand Dollars)","2021 Jul",2919438
"1674","Indonesia (Thousand Dollars)","2021 Jun",3581383
"1675","Indonesia (Thousand Dollars)","2021 May",2808492
"1676","Indonesia (Thousand Dollars)","2021 Apr",3191052
"1677","Indonesia (Thousand Dollars)","2021 Mar",3542640
"1678","Indonesia (Thousand Dollars)","2021 Feb",2977358
"1679","Indonesia (Thousand Dollars)","2021 Jan",2524216
"1680","Indonesia (Thousand Dollars)","2020 Dec",2756166
"1681","Indonesia (Thousand Dollars)","2020 Nov",2405160
"1682","Indonesia (Thousand Dollars)","2020 Oct",2264388
"1683","Indonesia (Thousand Dollars)","2020 Sep",2471805
"1684","Indonesia (Thousand Dollars)","2020 Aug",2320501
"1685","Indonesia (Thousand Dollars)","2020 Jul",2438838
"1686","Indonesia (Thousand Dollars)","2020 Jun",2196981
"1687","Indonesia (Thousand Dollars)","2020 May",1703250
"1688","Indonesia (Thousand Dollars)","2020 Apr",2192562
"1689","Indonesia (Thousand Dollars)","2020 Mar",3014122
"1690","Indonesia (Thousand Dollars)","2020 Feb",2707467
"1691","Indonesia (Thousand Dollars)","2020 Jan",3097834
"1692","Indonesia (Thousand Dollars)","2019 Dec",2926197
"1693","Indonesia (Thousand Dollars)","2019 Nov",3305525
"1694","Indonesia (Thousand Dollars)","2019 Oct",3275508
"1695","Indonesia (Thousand Dollars)","2019 Sep",3122721
"1696","Indonesia (Thousand Dollars)","2019 Aug",3192279
"1697","Indonesia (Thousand Dollars)","2019 Jul",3296226
"1698","Indonesia (Thousand Dollars)","2019 Jun",2883205
"1699","Indonesia (Thousand Dollars)","2019 May",3046660
"1700","Indonesia (Thousand Dollars)","2019 Apr",3142459
"1701","Indonesia (Thousand Dollars)","2019 Mar",3120155
"1702","Indonesia (Thousand Dollars)","2019 Feb",2532561
"1703","Indonesia (Thousand Dollars)","2019 Jan",3481372
"1704","Indonesia (Thousand Dollars)","2018 Dec",3245997
"1705","Indonesia (Thousand Dollars)","2018 Nov",3471044
"1706","Indonesia (Thousand Dollars)","2018 Oct",3848574
"1707","Indonesia (Thousand Dollars)","2018 Sep",3531343
"1708","Indonesia (Thousand Dollars)","2018 Aug",4236511
"1709","Indonesia (Thousand Dollars)","2018 Jul",4298459
"1710","Indonesia (Thousand Dollars)","2018 Jun",3566353
"1711","Indonesia (Thousand Dollars)","2018 May",4145439
"1712","Indonesia (Thousand Dollars)","2018 Apr",3536278
"1713","Indonesia (Thousand Dollars)","2018 Mar",3747060
"1714","Indonesia (Thousand Dollars)","2018 Feb",3061364
"1715","Indonesia (Thousand Dollars)","2018 Jan",3778241
"1716","Malaysia (Thousand Dollars)","2022 Jan",4828392
"1717","Malaysia (Thousand Dollars)","2021 Dec",5235038
"1718","Malaysia (Thousand Dollars)","2021 Nov",5553622
"1719","Malaysia (Thousand Dollars)","2021 Oct",5198396
"1720","Malaysia (Thousand Dollars)","2021 Sep",4852096
"1721","Malaysia (Thousand Dollars)","2021 Aug",4623527
"1722","Malaysia (Thousand Dollars)","2021 Jul",4044927
"1723","Malaysia (Thousand Dollars)","2021 Jun",3811035
"1724","Malaysia (Thousand Dollars)","2021 May",4271295
"1725","Malaysia (Thousand Dollars)","2021 Apr",4941837
"1726","Malaysia (Thousand Dollars)","2021 Mar",5549343
"1727","Malaysia (Thousand Dollars)","2021 Feb",3904908
"1728","Malaysia (Thousand Dollars)","2021 Jan",4566888
"1729","Malaysia (Thousand Dollars)","2020 Dec",4098730
"1730","Malaysia (Thousand Dollars)","2020 Nov",3920478
"1731","Malaysia (Thousand Dollars)","2020 Oct",3810320
"1732","Malaysia (Thousand Dollars)","2020 Sep",4057093
"1733","Malaysia (Thousand Dollars)","2020 Aug",3782960
"1734","Malaysia (Thousand Dollars)","2020 Jul",4080198
"1735","Malaysia (Thousand Dollars)","2020 Jun",3672727
"1736","Malaysia (Thousand Dollars)","2020 May",2929890
"1737","Malaysia (Thousand Dollars)","2020 Apr",2898079
"1738","Malaysia (Thousand Dollars)","2020 Mar",3683598
"1739","Malaysia (Thousand Dollars)","2020 Feb",4084098
"1740","Malaysia (Thousand Dollars)","2020 Jan",4882427
"1741","Malaysia (Thousand Dollars)","2019 Dec",5101862
"1742","Malaysia (Thousand Dollars)","2019 Nov",5188332
"1743","Malaysia (Thousand Dollars)","2019 Oct",5128473
"1744","Malaysia (Thousand Dollars)","2019 Sep",4542614
"1745","Malaysia (Thousand Dollars)","2019 Aug",4416412
"1746","Malaysia (Thousand Dollars)","2019 Jul",4632307
"1747","Malaysia (Thousand Dollars)","2019 Jun",4065377
"1748","Malaysia (Thousand Dollars)","2019 May",5062375
"1749","Malaysia (Thousand Dollars)","2019 Apr",4817283
"1750","Malaysia (Thousand Dollars)","2019 Mar",4510503
"1751","Malaysia (Thousand Dollars)","2019 Feb",3882516
"1752","Malaysia (Thousand Dollars)","2019 Jan",4794555
"1753","Malaysia (Thousand Dollars)","2018 Dec",4634931
"1754","Malaysia (Thousand Dollars)","2018 Nov",5518978
"1755","Malaysia (Thousand Dollars)","2018 Oct",5858507
"1756","Malaysia (Thousand Dollars)","2018 Sep",5096307
"1757","Malaysia (Thousand Dollars)","2018 Aug",6041650
"1758","Malaysia (Thousand Dollars)","2018 Jul",5297141
"1759","Malaysia (Thousand Dollars)","2018 Jun",4761237
"1760","Malaysia (Thousand Dollars)","2018 May",4736834
"1761","Malaysia (Thousand Dollars)","2018 Apr",4913955
"1762","Malaysia (Thousand Dollars)","2018 Mar",4767260
"1763","Malaysia (Thousand Dollars)","2018 Feb",4120848
"1764","Malaysia (Thousand Dollars)","2018 Jan",4834696
"1765","Philippines (Thousand Dollars)","2022 Jan",1082941
"1766","Philippines (Thousand Dollars)","2021 Dec",1170890
"1767","Philippines (Thousand Dollars)","2021 Nov",1329198
"1768","Philippines (Thousand Dollars)","2021 Oct",980583
"1769","Philippines (Thousand Dollars)","2021 Sep",903601
"1770","Philippines (Thousand Dollars)","2021 Aug",1005828
"1771","Philippines (Thousand Dollars)","2021 Jul",965175
"1772","Philippines (Thousand Dollars)","2021 Jun",981095
"1773","Philippines (Thousand Dollars)","2021 May",908860
"1774","Philippines (Thousand Dollars)","2021 Apr",1009146
"1775","Philippines (Thousand Dollars)","2021 Mar",1066012
"1776","Philippines (Thousand Dollars)","2021 Feb",1001918
"1777","Philippines (Thousand Dollars)","2021 Jan",982646
"1778","Philippines (Thousand Dollars)","2020 Dec",888000
"1779","Philippines (Thousand Dollars)","2020 Nov",814908
"1780","Philippines (Thousand Dollars)","2020 Oct",916638
"1781","Philippines (Thousand Dollars)","2020 Sep",877251
"1782","Philippines (Thousand Dollars)","2020 Aug",849391
"1783","Philippines (Thousand Dollars)","2020 Jul",1014441
"1784","Philippines (Thousand Dollars)","2020 Jun",896456
"1785","Philippines (Thousand Dollars)","2020 May",692502
"1786","Philippines (Thousand Dollars)","2020 Apr",567314
"1787","Philippines (Thousand Dollars)","2020 Mar",821266
"1788","Philippines (Thousand Dollars)","2020 Feb",868932
"1789","Philippines (Thousand Dollars)","2020 Jan",1048522
"1790","Philippines (Thousand Dollars)","2019 Dec",900240
"1791","Philippines (Thousand Dollars)","2019 Nov",1129668
"1792","Philippines (Thousand Dollars)","2019 Oct",1004326
"1793","Philippines (Thousand Dollars)","2019 Sep",1056307
"1794","Philippines (Thousand Dollars)","2019 Aug",1024043
"1795","Philippines (Thousand Dollars)","2019 Jul",1093895
"1796","Philippines (Thousand Dollars)","2019 Jun",908546
"1797","Philippines (Thousand Dollars)","2019 May",1087729
"1798","Philippines (Thousand Dollars)","2019 Apr",949427
"1799","Philippines (Thousand Dollars)","2019 Mar",881970
"1800","Philippines (Thousand Dollars)","2019 Feb",701982
"1801","Philippines (Thousand Dollars)","2019 Jan",902255
"1802","Philippines (Thousand Dollars)","2018 Dec",824328
"1803","Philippines (Thousand Dollars)","2018 Nov",984181
"1804","Philippines (Thousand Dollars)","2018 Oct",974300
"1805","Philippines (Thousand Dollars)","2018 Sep",837955
"1806","Philippines (Thousand Dollars)","2018 Aug",893059
"1807","Philippines (Thousand Dollars)","2018 Jul",932106
"1808","Philippines (Thousand Dollars)","2018 Jun",909141
"1809","Philippines (Thousand Dollars)","2018 May",935061
"1810","Philippines (Thousand Dollars)","2018 Apr",806996
"1811","Philippines (Thousand Dollars)","2018 Mar",926916
"1812","Philippines (Thousand Dollars)","2018 Feb",793849
"1813","Philippines (Thousand Dollars)","2018 Jan",912178
"1814","Thailand (Thousand Dollars)","2022 Jan",2225422
"1815","Thailand (Thousand Dollars)","2021 Dec",1988820
"1816","Thailand (Thousand Dollars)","2021 Nov",1714880
"1817","Thailand (Thousand Dollars)","2021 Oct",1629858
"1818","Thailand (Thousand Dollars)","2021 Sep",1727737
"1819","Thailand (Thousand Dollars)","2021 Aug",1907122
"1820","Thailand (Thousand Dollars)","2021 Jul",1710339
"1821","Thailand (Thousand Dollars)","2021 Jun",1782396
"1822","Thailand (Thousand Dollars)","2021 May",1660820
"1823","Thailand (Thousand Dollars)","2021 Apr",1691105
"1824","Thailand (Thousand Dollars)","2021 Mar",1840984
"1825","Thailand (Thousand Dollars)","2021 Feb",1410067
"1826","Thailand (Thousand Dollars)","2021 Jan",1906010
"1827","Thailand (Thousand Dollars)","2020 Dec",1582628
"1828","Thailand (Thousand Dollars)","2020 Nov",1708670
"1829","Thailand (Thousand Dollars)","2020 Oct",1722178
"1830","Thailand (Thousand Dollars)","2020 Sep",1592499
"1831","Thailand (Thousand Dollars)","2020 Aug",1573936
"1832","Thailand (Thousand Dollars)","2020 Jul",1452448
"1833","Thailand (Thousand Dollars)","2020 Jun",1309206
"1834","Thailand (Thousand Dollars)","2020 May",1215694
"1835","Thailand (Thousand Dollars)","2020 Apr",1408737
"1836","Thailand (Thousand Dollars)","2020 Mar",2504510
"1837","Thailand (Thousand Dollars)","2020 Feb",1703571
"1838","Thailand (Thousand Dollars)","2020 Jan",1689722
"1839","Thailand (Thousand Dollars)","2019 Dec",1630882
"1840","Thailand (Thousand Dollars)","2019 Nov",2094080
"1841","Thailand (Thousand Dollars)","2019 Oct",2011601
"1842","Thailand (Thousand Dollars)","2019 Sep",1826097
"1843","Thailand (Thousand Dollars)","2019 Aug",1649877
"1844","Thailand (Thousand Dollars)","2019 Jul",1959371
"1845","Thailand (Thousand Dollars)","2019 Jun",1589997
"1846","Thailand (Thousand Dollars)","2019 May",1613416
"1847","Thailand (Thousand Dollars)","2019 Apr",1627916
"1848","Thailand (Thousand Dollars)","2019 Mar",1661130
"1849","Thailand (Thousand Dollars)","2019 Feb",1555895
"1850","Thailand (Thousand Dollars)","2019 Jan",1726601
"1851","Thailand (Thousand Dollars)","2018 Dec",1425606
"1852","Thailand (Thousand Dollars)","2018 Nov",1808466
"1853","Thailand (Thousand Dollars)","2018 Oct",2054711
"1854","Thailand (Thousand Dollars)","2018 Sep",2040387
"1855","Thailand (Thousand Dollars)","2018 Aug",1821445
"1856","Thailand (Thousand Dollars)","2018 Jul",1837239
"1857","Thailand (Thousand Dollars)","2018 Jun",1591844
"1858","Thailand (Thousand Dollars)","2018 May",1763423
"1859","Thailand (Thousand Dollars)","2018 Apr",1709908
"1860","Thailand (Thousand Dollars)","2018 Mar",1794846
"1861","Thailand (Thousand Dollars)","2018 Feb",1416821
"1862","Thailand (Thousand Dollars)","2018 Jan",1728311
"1863","Myanmar (Thousand Dollars)","2022 Jan",325856
"1864","Myanmar (Thousand Dollars)","2021 Dec",452365
"1865","Myanmar (Thousand Dollars)","2021 Nov",304342
"1866","Myanmar (Thousand Dollars)","2021 Oct",257507
"1867","Myanmar (Thousand Dollars)","2021 Sep",218120
"1868","Myanmar (Thousand Dollars)","2021 Aug",188701
"1869","Myanmar (Thousand Dollars)","2021 Jul",346813
"1870","Myanmar (Thousand Dollars)","2021 Jun",363217
"1871","Myanmar (Thousand Dollars)","2021 May",241352
"1872","Myanmar (Thousand Dollars)","2021 Apr",264431
"1873","Myanmar (Thousand Dollars)","2021 Mar",312926
"1874","Myanmar (Thousand Dollars)","2021 Feb",219550
"1875","Myanmar (Thousand Dollars)","2021 Jan",343638
"1876","Myanmar (Thousand Dollars)","2020 Dec",327498
"1877","Myanmar (Thousand Dollars)","2020 Nov",246851
"1878","Myanmar (Thousand Dollars)","2020 Oct",224144
"1879","Myanmar (Thousand Dollars)","2020 Sep",268968
"1880","Myanmar (Thousand Dollars)","2020 Aug",273130
"1881","Myanmar (Thousand Dollars)","2020 Jul",283466
"1882","Myanmar (Thousand Dollars)","2020 Jun",356460
"1883","Myanmar (Thousand Dollars)","2020 May",278782
"1884","Myanmar (Thousand Dollars)","2020 Apr",247214
"1885","Myanmar (Thousand Dollars)","2020 Mar",449515
"1886","Myanmar (Thousand Dollars)","2020 Feb",331483
"1887","Myanmar (Thousand Dollars)","2020 Jan",430961
"1888","Myanmar (Thousand Dollars)","2019 Dec",459098
"1889","Myanmar (Thousand Dollars)","2019 Nov",349182
"1890","Myanmar (Thousand Dollars)","2019 Oct",362030
"1891","Myanmar (Thousand Dollars)","2019 Sep",316155
"1892","Myanmar (Thousand Dollars)","2019 Aug",326239
"1893","Myanmar (Thousand Dollars)","2019 Jul",364722
"1894","Myanmar (Thousand Dollars)","2019 Jun",291690
"1895","Myanmar (Thousand Dollars)","2019 May",416575
"1896","Myanmar (Thousand Dollars)","2019 Apr",376783
"1897","Myanmar (Thousand Dollars)","2019 Mar",369015
"1898","Myanmar (Thousand Dollars)","2019 Feb",271184
"1899","Myanmar (Thousand Dollars)","2019 Jan",394459
"1900","Myanmar (Thousand Dollars)","2018 Dec",400477
"1901","Myanmar (Thousand Dollars)","2018 Nov",241719
"1902","Myanmar (Thousand Dollars)","2018 Oct",332489
"1903","Myanmar (Thousand Dollars)","2018 Sep",273815
"1904","Myanmar (Thousand Dollars)","2018 Aug",343022
"1905","Myanmar (Thousand Dollars)","2018 Jul",263873
"1906","Myanmar (Thousand Dollars)","2018 Jun",314663
"1907","Myanmar (Thousand Dollars)","2018 May",327783
"1908","Myanmar (Thousand Dollars)","2018 Apr",283763
"1909","Myanmar (Thousand Dollars)","2018 Mar",335793
"1910","Myanmar (Thousand Dollars)","2018 Feb",312028
"1911","Myanmar (Thousand Dollars)","2018 Jan",300712
"1912","Cambodia (Thousand Dollars)","2022 Jan",1295948
"1913","Cambodia (Thousand Dollars)","2021 Dec",1260386
"1914","Cambodia (Thousand Dollars)","2021 Nov",732835
"1915","Cambodia (Thousand Dollars)","2021 Oct",721899
"1916","Cambodia (Thousand Dollars)","2021 Sep",363127
"1917","Cambodia (Thousand Dollars)","2021 Aug",238718
"1918","Cambodia (Thousand Dollars)","2021 Jul",422961
"1919","Cambodia (Thousand Dollars)","2021 Jun",619307
"1920","Cambodia (Thousand Dollars)","2021 May",337789
"1921","Cambodia (Thousand Dollars)","2021 Apr",625369
"1922","Cambodia (Thousand Dollars)","2021 Mar",1555131
"1923","Cambodia (Thousand Dollars)","2021 Feb",1134340
"1924","Cambodia (Thousand Dollars)","2021 Jan",872487
"1925","Cambodia (Thousand Dollars)","2020 Dec",538116
"1926","Cambodia (Thousand Dollars)","2020 Nov",336505
"1927","Cambodia (Thousand Dollars)","2020 Oct",86356
"1928","Cambodia (Thousand Dollars)","2020 Sep",70633
"1929","Cambodia (Thousand Dollars)","2020 Aug",77148
"1930","Cambodia (Thousand Dollars)","2020 Jul",86990
"1931","Cambodia (Thousand Dollars)","2020 Jun",92601
"1932","Cambodia (Thousand Dollars)","2020 May",80030
"1933","Cambodia (Thousand Dollars)","2020 Apr",76917
"1934","Cambodia (Thousand Dollars)","2020 Mar",240034
"1935","Cambodia (Thousand Dollars)","2020 Feb",173729
"1936","Cambodia (Thousand Dollars)","2020 Jan",217874
"1937","Cambodia (Thousand Dollars)","2019 Dec",434667
"1938","Cambodia (Thousand Dollars)","2019 Nov",434454
"1939","Cambodia (Thousand Dollars)","2019 Oct",129763
"1940","Cambodia (Thousand Dollars)","2019 Sep",97695
"1941","Cambodia (Thousand Dollars)","2019 Aug",87755
"1942","Cambodia (Thousand Dollars)","2019 Jul",136053
"1943","Cambodia (Thousand Dollars)","2019 Jun",108174
"1944","Cambodia (Thousand Dollars)","2019 May",304347
"1945","Cambodia (Thousand Dollars)","2019 Apr",461272
"1946","Cambodia (Thousand Dollars)","2019 Mar",357207
"1947","Cambodia (Thousand Dollars)","2019 Feb",183143
"1948","Cambodia (Thousand Dollars)","2019 Jan",362730
"1949","Cambodia (Thousand Dollars)","2018 Dec",289317
"1950","Cambodia (Thousand Dollars)","2018 Nov",490688
"1951","Cambodia (Thousand Dollars)","2018 Oct",452243
"1952","Cambodia (Thousand Dollars)","2018 Sep",633121
"1953","Cambodia (Thousand Dollars)","2018 Aug",844380
"1954","Cambodia (Thousand Dollars)","2018 Jul",924408
"1955","Cambodia (Thousand Dollars)","2018 Jun",677612
"1956","Cambodia (Thousand Dollars)","2018 May",726713
"1957","Cambodia (Thousand Dollars)","2018 Apr",349437
"1958","Cambodia (Thousand Dollars)","2018 Mar",431680
"1959","Cambodia (Thousand Dollars)","2018 Feb",511201
"1960","Cambodia (Thousand Dollars)","2018 Jan",117657
"1961","Laos People's Democratic Republic (Thousand Dollars)","2022 Jan",12861
"1962","Laos People's Democratic Republic (Thousand Dollars)","2021 Dec",36482
"1963","Laos People's Democratic Republic (Thousand Dollars)","2021 Nov",8414
"1964","Laos People's Democratic Republic (Thousand Dollars)","2021 Oct",4406
"1965","Laos People's Democratic Republic (Thousand Dollars)","2021 Sep",3217
"1966","Laos People's Democratic Republic (Thousand Dollars)","2021 Aug",3716
"1967","Laos People's Democratic Republic (Thousand Dollars)","2021 Jul",3072
"1968","Laos People's Democratic Republic (Thousand Dollars)","2021 Jun",8148
"1969","Laos People's Democratic Republic (Thousand Dollars)","2021 May",2739
"1970","Laos People's Democratic Republic (Thousand Dollars)","2021 Apr",2824
"1971","Laos People's Democratic Republic (Thousand Dollars)","2021 Mar",5464
"1972","Laos People's Democratic Republic (Thousand Dollars)","2021 Feb",3497
"1973","Laos People's Democratic Republic (Thousand Dollars)","2021 Jan",2815
"1974","Laos People's Democratic Republic (Thousand Dollars)","2020 Dec",2842
"1975","Laos People's Democratic Republic (Thousand Dollars)","2020 Nov",3357
"1976","Laos People's Democratic Republic (Thousand Dollars)","2020 Oct",2423
"1977","Laos People's Democratic Republic (Thousand Dollars)","2020 Sep",2401
"1978","Laos People's Democratic Republic (Thousand Dollars)","2020 Aug",2322
"1979","Laos People's Democratic Republic (Thousand Dollars)","2020 Jul",3055
"1980","Laos People's Democratic Republic (Thousand Dollars)","2020 Jun",1511
"1981","Laos People's Democratic Republic (Thousand Dollars)","2020 May",2353
"1982","Laos People's Democratic Republic (Thousand Dollars)","2020 Apr",1738
"1983","Laos People's Democratic Republic (Thousand Dollars)","2020 Mar",3702
"1984","Laos People's Democratic Republic (Thousand Dollars)","2020 Feb",4108
"1985","Laos People's Democratic Republic (Thousand Dollars)","2020 Jan",7018
"1986","Laos People's Democratic Republic (Thousand Dollars)","2019 Dec",7954
"1987","Laos People's Democratic Republic (Thousand Dollars)","2019 Nov",11092
"1988","Laos People's Democratic Republic (Thousand Dollars)","2019 Oct",6442
"1989","Laos People's Democratic Republic (Thousand Dollars)","2019 Sep",4505
"1990","Laos People's Democratic Republic (Thousand Dollars)","2019 Aug",4224
"1991","Laos People's Democratic Republic (Thousand Dollars)","2019 Jul",3774
"1992","Laos People's Democratic Republic (Thousand Dollars)","2019 Jun",5492
"1993","Laos People's Democratic Republic (Thousand Dollars)","2019 May",5024
"1994","Laos People's Democratic Republic (Thousand Dollars)","2019 Apr",3709
"1995","Laos People's Democratic Republic (Thousand Dollars)","2019 Mar",9619
"1996","Laos People's Democratic Republic (Thousand Dollars)","2019 Feb",5317
"1997","Laos People's Democratic Republic (Thousand Dollars)","2019 Jan",5648
"1998","Laos People's Democratic Republic (Thousand Dollars)","2018 Dec",4670
"1999","Laos People's Democratic Republic (Thousand Dollars)","2018 Nov",9372
"2000","Laos People's Democratic Republic (Thousand Dollars)","2018 Oct",5840
"2001","Laos People's Democratic Republic (Thousand Dollars)","2018 Sep",5972
"2002","Laos People's Democratic Republic (Thousand Dollars)","2018 Aug",8439
"2003","Laos People's Democratic Republic (Thousand Dollars)","2018 Jul",2717
"2004","Laos People's Democratic Republic (Thousand Dollars)","2018 Jun",2420
"2005","Laos People's Democratic Republic (Thousand Dollars)","2018 May",4045
"2006","Laos People's Democratic Republic (Thousand Dollars)","2018 Apr",4874
"2007","Laos People's Democratic Republic (Thousand Dollars)","2018 Mar",2949
"2008","Laos People's Democratic Republic (Thousand Dollars)","2018 Feb",3731
"2009","Laos People's Democratic Republic (Thousand Dollars)","2018 Jan",4009
"2010","Vietnam, Socialist Republic Of (Thousand Dollars)","2022 Jan",1799861
"2011","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Dec",2274199
"2012","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Nov",1928255
"2013","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Oct",1704354
"2014","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Sep",1715696
"2015","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Aug",1742412
"2016","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Jul",1648685
"2017","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Jun",1741781
"2018","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 May",1581962
"2019","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Apr",1770996
"2020","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Mar",1758115
"2021","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Feb",1402805
"2022","Vietnam, Socialist Republic Of (Thousand Dollars)","2021 Jan",1766128
"2023","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Dec",1636831
"2024","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Nov",1517606
"2025","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Oct",1433309
"2026","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Sep",1499010
"2027","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Aug",1463700
"2028","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Jul",1533658
"2029","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Jun",1563752
"2030","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 May",1221984
"2031","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Apr",1013515
"2032","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Mar",1378299
"2033","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Feb",1528014
"2034","Vietnam, Socialist Republic Of (Thousand Dollars)","2020 Jan",1361099
"2035","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Dec",1484885
"2036","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Nov",1508607
"2037","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Oct",1576016
"2038","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Sep",1319116
"2039","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Aug",1647922
"2040","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Jul",1403618
"2041","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Jun",1413231
"2042","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 May",1583985
"2043","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Apr",1441410
"2044","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Mar",1480567
"2045","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Feb",1391676
"2046","Vietnam, Socialist Republic Of (Thousand Dollars)","2019 Jan",1431480
"2047","Vietnam, Socialist Republic Of (Thousand Dollars)","2018 Dec",1439812
"2048","Vietnam, Socialist Republic Of (Thousand Dollars)","2018 Nov",1363232
