"","Data Series","Time","Exports"
"108","Asia (Million Dollars)","2021 Apr",37686.2
"109","Asia (Million Dollars)","2021 Mar",40954.4
"110","Asia (Million Dollars)","2021 Feb",31562
"111","Asia (Million Dollars)","2021 Jan",33377.7
"112","Asia (Million Dollars)","2020 Dec",34687.8
"113","Asia (Million Dollars)","2020 Nov",32142.6
"114","Asia (Million Dollars)","2020 Oct",32140.9
"115","Asia (Million Dollars)","2020 Sep",31782.3
"116","Asia (Million Dollars)","2020 Aug",31657.5
"117","Asia (Million Dollars)","2020 Jul",29808.7
"118","Asia (Million Dollars)","2020 Jun",28994.5
"119","Asia (Million Dollars)","2020 May",24437.8
"120","Asia (Million Dollars)","2020 Apr",26245.7
"121","Asia (Million Dollars)","2020 Mar",32534.9
"122","Asia (Million Dollars)","2020 Feb",29713.9
"123","Asia (Million Dollars)","2020 Jan",31668
"124","Asia (Million Dollars)","2019 Dec",34177
"125","Asia (Million Dollars)","2019 Nov",34252.7
"126","Asia (Million Dollars)","2019 Oct",33529.6
"127","Asia (Million Dollars)","2019 Sep",32055.9
"128","Asia (Million Dollars)","2019 Aug",33370.5
"129","Asia (Million Dollars)","2019 Jul",32193.3
"130","Asia (Million Dollars)","2019 Jun",29551.6
"131","Asia (Million Dollars)","2019 May",32511.7
"132","Asia (Million Dollars)","2019 Apr",32069.7
"133","Asia (Million Dollars)","2019 Mar",31577.5
"134","Asia (Million Dollars)","2019 Feb",28614.5
"135","Asia (Million Dollars)","2019 Jan",32195.7
"136","Asia (Million Dollars)","2018 Dec",32236.4
"137","Asia (Million Dollars)","2018 Nov",35349.1
"138","Asia (Million Dollars)","2018 Oct",37466
"139","Asia (Million Dollars)","2018 Sep",33281.8
"140","Asia (Million Dollars)","2018 Aug",37323.4
"141","Asia (Million Dollars)","2018 Jul",35889.6
"142","Asia (Million Dollars)","2018 Jun",33376.8
"143","Asia (Million Dollars)","2018 May",34376.3
"144","Asia (Million Dollars)","2018 Apr",31955.3
"145","Asia (Million Dollars)","2018 Mar",33727.8
"146","Asia (Million Dollars)","2018 Feb",28186.1
"147","Asia (Million Dollars)","2018 Jan",32613.2
"148","Europe (Million Dollars)","2022 Jan",4876.4
"149","Europe (Million Dollars)","2021 Dec",4965.3
"150","Europe (Million Dollars)","2021 Nov",4848.6
"151","Europe (Million Dollars)","2021 Oct",5269.6
"152","Europe (Million Dollars)","2021 Sep",4350.9
"153","Europe (Million Dollars)","2021 Aug",4698
"154","Europe (Million Dollars)","2021 Jul",5260.6
"155","Europe (Million Dollars)","2021 Jun",4758.3
"156","Europe (Million Dollars)","2021 May",4555.8
"157","Europe (Million Dollars)","2021 Apr",4562.7
"158","Europe (Million Dollars)","2021 Mar",5516.7
"159","Europe (Million Dollars)","2021 Feb",3865.8
"160","Europe (Million Dollars)","2021 Jan",4604.8
"161","Europe (Million Dollars)","2020 Dec",3785.5
"162","Europe (Million Dollars)","2020 Nov",3594.1
"163","Europe (Million Dollars)","2020 Oct",4757.3
"164","Europe (Million Dollars)","2020 Sep",5116.7
"165","Europe (Million Dollars)","2020 Aug",5178.3
"166","Europe (Million Dollars)","2020 Jul",4013.8
"167","Europe (Million Dollars)","2020 Jun",4880.4
"168","Europe (Million Dollars)","2020 May",4398
"169","Europe (Million Dollars)","2020 Apr",5051.3
"170","Europe (Million Dollars)","2020 Mar",4468.2
"171","Europe (Million Dollars)","2020 Feb",4996.4
"172","Europe (Million Dollars)","2020 Jan",4432.5
"173","Europe (Million Dollars)","2019 Dec",3851
"174","Europe (Million Dollars)","2019 Nov",4173.3
"175","Europe (Million Dollars)","2019 Oct",5162.7
"176","Europe (Million Dollars)","2019 Sep",4007.2
"177","Europe (Million Dollars)","2019 Aug",4278.1
"178","Europe (Million Dollars)","2019 Jul",5231.8
"179","Europe (Million Dollars)","2019 Jun",3890.6
"180","Europe (Million Dollars)","2019 May",5479.5
"181","Europe (Million Dollars)","2019 Apr",4107.2
"182","Europe (Million Dollars)","2019 Mar",4421.2
"183","Europe (Million Dollars)","2019 Feb",3994.3
"184","Europe (Million Dollars)","2019 Jan",4585.6
"185","Europe (Million Dollars)","2018 Dec",3968.8
"186","Europe (Million Dollars)","2018 Nov",4961.4
