"","Data Series","Time","Imports"
"1022","Finland (Thousand Dollars)","2018 Aug",31816
"1023","Finland (Thousand Dollars)","2018 Jul",26608
"1024","Finland (Thousand Dollars)","2018 Jun",39054
"1025","Finland (Thousand Dollars)","2018 May",31832
"1026","Finland (Thousand Dollars)","2018 Apr",31065
"1027","Finland (Thousand Dollars)","2018 Mar",31717
"1028","Finland (Thousand Dollars)","2018 Feb",26323
"1029","Finland (Thousand Dollars)","2018 Jan",28548
"1030","Norway (Thousand Dollars)","2022 Jan",54280
"1031","Norway (Thousand Dollars)","2021 Dec",50080
"1032","Norway (Thousand Dollars)","2021 Nov",48303
"1033","Norway (Thousand Dollars)","2021 Oct",44647
"1034","Norway (Thousand Dollars)","2021 Sep",40203
"1035","Norway (Thousand Dollars)","2021 Aug",51509
"1036","Norway (Thousand Dollars)","2021 Jul",48442
"1037","Norway (Thousand Dollars)","2021 Jun",62320
"1038","Norway (Thousand Dollars)","2021 May",43877
"1039","Norway (Thousand Dollars)","2021 Apr",100416
"1040","Norway (Thousand Dollars)","2021 Mar",67520
"1041","Norway (Thousand Dollars)","2021 Feb",48391
"1042","Norway (Thousand Dollars)","2021 Jan",44281
"1043","Norway (Thousand Dollars)","2020 Dec",109334
"1044","Norway (Thousand Dollars)","2020 Nov",54431
"1045","Norway (Thousand Dollars)","2020 Oct",51510
"1046","Norway (Thousand Dollars)","2020 Sep",44600
"1047","Norway (Thousand Dollars)","2020 Aug",82320
"1048","Norway (Thousand Dollars)","2020 Jul",55228
"1049","Norway (Thousand Dollars)","2020 Jun",94930
"1050","Norway (Thousand Dollars)","2020 May",66717
"1051","Norway (Thousand Dollars)","2020 Apr",50807
"1052","Norway (Thousand Dollars)","2020 Mar",69037
"1053","Norway (Thousand Dollars)","2020 Feb",71122
"1054","Norway (Thousand Dollars)","2020 Jan",58705
"1055","Norway (Thousand Dollars)","2019 Dec",85519
"1056","Norway (Thousand Dollars)","2019 Nov",71804
"1057","Norway (Thousand Dollars)","2019 Oct",127703
"1058","Norway (Thousand Dollars)","2019 Sep",49975
"1059","Norway (Thousand Dollars)","2019 Aug",48208
"1060","Norway (Thousand Dollars)","2019 Jul",48101
"1061","Norway (Thousand Dollars)","2019 Jun",73345
"1062","Norway (Thousand Dollars)","2019 May",174721
"1063","Norway (Thousand Dollars)","2019 Apr",109928
"1064","Norway (Thousand Dollars)","2019 Mar",147057
"1065","Norway (Thousand Dollars)","2019 Feb",511078
"1066","Norway (Thousand Dollars)","2019 Jan",113890
"1067","Norway (Thousand Dollars)","2018 Dec",48783
"1068","Norway (Thousand Dollars)","2018 Nov",127455
"1069","Norway (Thousand Dollars)","2018 Oct",57904
"1070","Norway (Thousand Dollars)","2018 Sep",45220
"1071","Norway (Thousand Dollars)","2018 Aug",104304
"1072","Norway (Thousand Dollars)","2018 Jul",114919
"1073","Norway (Thousand Dollars)","2018 Jun",53932
"1074","Norway (Thousand Dollars)","2018 May",112205
"1075","Norway (Thousand Dollars)","2018 Apr",72321
"1076","Norway (Thousand Dollars)","2018 Mar",50096
"1077","Norway (Thousand Dollars)","2018 Feb",58073
"1078","Norway (Thousand Dollars)","2018 Jan",98293
"1079","Sweden (Thousand Dollars)","2022 Jan",149110
"1080","Sweden (Thousand Dollars)","2021 Dec",181120
"1081","Sweden (Thousand Dollars)","2021 Nov",175272
"1082","Sweden (Thousand Dollars)","2021 Oct",204238
"1083","Sweden (Thousand Dollars)","2021 Sep",166433
"1084","Sweden (Thousand Dollars)","2021 Aug",209660
"1085","Sweden (Thousand Dollars)","2021 Jul",176030
"1086","Sweden (Thousand Dollars)","2021 Jun",185878
"1087","Sweden (Thousand Dollars)","2021 May",158396
"1088","Sweden (Thousand Dollars)","2021 Apr",173900
"1089","Sweden (Thousand Dollars)","2021 Mar",150127
"1090","Sweden (Thousand Dollars)","2021 Feb",123206
"1091","Sweden (Thousand Dollars)","2021 Jan",128405
"1092","Sweden (Thousand Dollars)","2020 Dec",161400
"1093","Sweden (Thousand Dollars)","2020 Nov",111295
"1094","Sweden (Thousand Dollars)","2020 Oct",134101
"1095","Sweden (Thousand Dollars)","2020 Sep",114475
"1096","Sweden (Thousand Dollars)","2020 Aug",84892
"1097","Sweden (Thousand Dollars)","2020 Jul",123624
"1098","Sweden (Thousand Dollars)","2020 Jun",125208
"1099","Sweden (Thousand Dollars)","2020 May",116142
"1100","Sweden (Thousand Dollars)","2020 Apr",129160
"1101","Sweden (Thousand Dollars)","2020 Mar",220796
"1102","Sweden (Thousand Dollars)","2020 Feb",98183
"1103","Sweden (Thousand Dollars)","2020 Jan",118465
"1104","Sweden (Thousand Dollars)","2019 Dec",121549
"1105","Sweden (Thousand Dollars)","2019 Nov",100731
"1106","Sweden (Thousand Dollars)","2019 Oct",129260
"1107","Sweden (Thousand Dollars)","2019 Sep",104315
"1108","Sweden (Thousand Dollars)","2019 Aug",118914
"1109","Sweden (Thousand Dollars)","2019 Jul",124470
"1110","Sweden (Thousand Dollars)","2019 Jun",123571
"1111","Sweden (Thousand Dollars)","2019 May",171022
"1112","Sweden (Thousand Dollars)","2019 Apr",139440
"1113","Sweden (Thousand Dollars)","2019 Mar",139352
"1114","Sweden (Thousand Dollars)","2019 Feb",118363
"1115","Sweden (Thousand Dollars)","2019 Jan",159314
"1116","Sweden (Thousand Dollars)","2018 Dec",113479
"1117","Sweden (Thousand Dollars)","2018 Nov",134520
"1118","Sweden (Thousand Dollars)","2018 Oct",180438
"1119","Sweden (Thousand Dollars)","2018 Sep",91353
"1120","Sweden (Thousand Dollars)","2018 Aug",138325
"1121","Sweden (Thousand Dollars)","2018 Jul",136402
"1122","Sweden (Thousand Dollars)","2018 Jun",102624
"1123","Sweden (Thousand Dollars)","2018 May",138119
"1124","Sweden (Thousand Dollars)","2018 Apr",143422
"1125","Sweden (Thousand Dollars)","2018 Mar",123753
"1126","Sweden (Thousand Dollars)","2018 Feb",110430
"1127","Sweden (Thousand Dollars)","2018 Jan",124739
"1128","Switzerland (Thousand Dollars)","2022 Jan",1374882
"1129","Switzerland (Thousand Dollars)","2021 Dec",773415
"1130","Switzerland (Thousand Dollars)","2021 Nov",991215
"1131","Switzerland (Thousand Dollars)","2021 Oct",975916
"1132","Switzerland (Thousand Dollars)","2021 Sep",982530
"1133","Switzerland (Thousand Dollars)","2021 Aug",592419
"1134","Switzerland (Thousand Dollars)","2021 Jul",880337
"1135","Switzerland (Thousand Dollars)","2021 Jun",627453
"1136","Switzerland (Thousand Dollars)","2021 May",918046
"1137","Switzerland (Thousand Dollars)","2021 Apr",1004553
"1138","Switzerland (Thousand Dollars)","2021 Mar",1901500
"1139","Switzerland (Thousand Dollars)","2021 Feb",639679
"1140","Switzerland (Thousand Dollars)","2021 Jan",753225
"1141","Switzerland (Thousand Dollars)","2020 Dec",631159
"1142","Switzerland (Thousand Dollars)","2020 Nov",798242
"1143","Switzerland (Thousand Dollars)","2020 Oct",597361
"1144","Switzerland (Thousand Dollars)","2020 Sep",597220
"1145","Switzerland (Thousand Dollars)","2020 Aug",818335
"1146","Switzerland (Thousand Dollars)","2020 Jul",726897
"1147","Switzerland (Thousand Dollars)","2020 Jun",560427
"1148","Switzerland (Thousand Dollars)","2020 May",446190
"1149","Switzerland (Thousand Dollars)","2020 Apr",482705
"1150","Switzerland (Thousand Dollars)","2020 Mar",832311
"1151","Switzerland (Thousand Dollars)","2020 Feb",724391
"1152","Switzerland (Thousand Dollars)","2020 Jan",970886
"1153","Switzerland (Thousand Dollars)","2019 Dec",608363
"1154","Switzerland (Thousand Dollars)","2019 Nov",793768
"1155","Switzerland (Thousand Dollars)","2019 Oct",680366
"1156","Switzerland (Thousand Dollars)","2019 Sep",753194
"1157","Switzerland (Thousand Dollars)","2019 Aug",713689
"1158","Switzerland (Thousand Dollars)","2019 Jul",657288
"1159","Switzerland (Thousand Dollars)","2019 Jun",668810
"1160","Switzerland (Thousand Dollars)","2019 May",944100
"1161","Switzerland (Thousand Dollars)","2019 Apr",852369
"1162","Switzerland (Thousand Dollars)","2019 Mar",970756
"1163","Switzerland (Thousand Dollars)","2019 Feb",676388
"1164","Switzerland (Thousand Dollars)","2019 Jan",769617
"1165","Switzerland (Thousand Dollars)","2018 Dec",958902
"1166","Switzerland (Thousand Dollars)","2018 Nov",1242860
"1167","Switzerland (Thousand Dollars)","2018 Oct",1304741
"1168","Switzerland (Thousand Dollars)","2018 Sep",1123575
"1169","Switzerland (Thousand Dollars)","2018 Aug",1451647
"1170","Switzerland (Thousand Dollars)","2018 Jul",1632084
"1171","Switzerland (Thousand Dollars)","2018 Jun",1287388
"1172","Switzerland (Thousand Dollars)","2018 May",911869
"1173","Switzerland (Thousand Dollars)","2018 Apr",1010651
"1174","Switzerland (Thousand Dollars)","2018 Mar",1167372
"1175","Switzerland (Thousand Dollars)","2018 Feb",814518
"1176","Switzerland (Thousand Dollars)","2018 Jan",758270
"1177","Liechtenstein (Thousand Dollars)","2022 Jan",2951
"1178","Liechtenstein (Thousand Dollars)","2021 Dec",3311
"1179","Liechtenstein (Thousand Dollars)","2021 Nov",2985
"1180","Liechtenstein (Thousand Dollars)","2021 Oct",3597
"1181","Liechtenstein (Thousand Dollars)","2021 Sep",2724
"1182","Liechtenstein (Thousand Dollars)","2021 Aug",3655
"1183","Liechtenstein (Thousand Dollars)","2021 Jul",2597
"1184","Liechtenstein (Thousand Dollars)","2021 Jun",3631
"1185","Liechtenstein (Thousand Dollars)","2021 May",3716
"1186","Liechtenstein (Thousand Dollars)","2021 Apr",2789
"1187","Liechtenstein (Thousand Dollars)","2021 Mar",3744
"1188","Liechtenstein (Thousand Dollars)","2021 Feb",2612
"1189","Liechtenstein (Thousand Dollars)","2021 Jan",2859
"1190","Liechtenstein (Thousand Dollars)","2020 Dec",3105
"1191","Liechtenstein (Thousand Dollars)","2020 Nov",2345
"1192","Liechtenstein (Thousand Dollars)","2020 Oct",2227
"1193","Liechtenstein (Thousand Dollars)","2020 Sep",2788
"1194","Liechtenstein (Thousand Dollars)","2020 Aug",2421
"1195","Liechtenstein (Thousand Dollars)","2020 Jul",2505
"1196","Liechtenstein (Thousand Dollars)","2020 Jun",1402
"1197","Liechtenstein (Thousand Dollars)","2020 May",2349
"1198","Liechtenstein (Thousand Dollars)","2020 Apr",3329
"1199","Liechtenstein (Thousand Dollars)","2020 Mar",2430
"1200","Liechtenstein (Thousand Dollars)","2020 Feb",2869
"1201","Liechtenstein (Thousand Dollars)","2020 Jan",2822
"1202","Liechtenstein (Thousand Dollars)","2019 Dec",2165
"1203","Liechtenstein (Thousand Dollars)","2019 Nov",2708
"1204","Liechtenstein (Thousand Dollars)","2019 Oct",2851
"1205","Liechtenstein (Thousand Dollars)","2019 Sep",3188
"1206","Liechtenstein (Thousand Dollars)","2019 Aug",2633
"1207","Liechtenstein (Thousand Dollars)","2019 Jul",3593
"1208","Liechtenstein (Thousand Dollars)","2019 Jun",2164
"1209","Liechtenstein (Thousand Dollars)","2019 May",3220
"1210","Liechtenstein (Thousand Dollars)","2019 Apr",2722
"1211","Liechtenstein (Thousand Dollars)","2019 Mar",1848
"1212","Liechtenstein (Thousand Dollars)","2019 Feb",2158
"1213","Liechtenstein (Thousand Dollars)","2019 Jan",2421
"1214","Liechtenstein (Thousand Dollars)","2018 Dec",2720
"1215","Liechtenstein (Thousand Dollars)","2018 Nov",1585
"1216","Liechtenstein (Thousand Dollars)","2018 Oct",4923
"1217","Liechtenstein (Thousand Dollars)","2018 Sep",3722
"1218","Liechtenstein (Thousand Dollars)","2018 Aug",2720
"1219","Liechtenstein (Thousand Dollars)","2018 Jul",1960
"1220","Liechtenstein (Thousand Dollars)","2018 Jun",1980
"1221","Liechtenstein (Thousand Dollars)","2018 May",1847
"1222","Liechtenstein (Thousand Dollars)","2018 Apr",2537
"1223","Liechtenstein (Thousand Dollars)","2018 Mar",2701
"1224","Liechtenstein (Thousand Dollars)","2018 Feb",2209
"1225","Liechtenstein (Thousand Dollars)","2018 Jan",2505
"1226","Malta (Thousand Dollars)","2022 Jan",18169
"1227","Malta (Thousand Dollars)","2021 Dec",76979
"1228","Malta (Thousand Dollars)","2021 Nov",65852
"1229","Malta (Thousand Dollars)","2021 Oct",156403
"1230","Malta (Thousand Dollars)","2021 Sep",145303
"1231","Malta (Thousand Dollars)","2021 Aug",20379
"1232","Malta (Thousand Dollars)","2021 Jul",54541
"1233","Malta (Thousand Dollars)","2021 Jun",69906
"1234","Malta (Thousand Dollars)","2021 May",14958
"1235","Malta (Thousand Dollars)","2021 Apr",44893
"1236","Malta (Thousand Dollars)","2021 Mar",19176
"1237","Malta (Thousand Dollars)","2021 Feb",14389
"1238","Malta (Thousand Dollars)","2021 Jan",51714
"1239","Malta (Thousand Dollars)","2020 Dec",32239
"1240","Malta (Thousand Dollars)","2020 Nov",14927
"1241","Malta (Thousand Dollars)","2020 Oct",19082
"1242","Malta (Thousand Dollars)","2020 Sep",16183
"1243","Malta (Thousand Dollars)","2020 Aug",16899
"1244","Malta (Thousand Dollars)","2020 Jul",19717
"1245","Malta (Thousand Dollars)","2020 Jun",26047
"1246","Malta (Thousand Dollars)","2020 May",15044
"1247","Malta (Thousand Dollars)","2020 Apr",23609
"1248","Malta (Thousand Dollars)","2020 Mar",20391
"1249","Malta (Thousand Dollars)","2020 Feb",14917
"1250","Malta (Thousand Dollars)","2020 Jan",42930
"1251","Malta (Thousand Dollars)","2019 Dec",66861
"1252","Malta (Thousand Dollars)","2019 Nov",20589
"1253","Malta (Thousand Dollars)","2019 Oct",25075
"1254","Malta (Thousand Dollars)","2019 Sep",20090
"1255","Malta (Thousand Dollars)","2019 Aug",21785
"1256","Malta (Thousand Dollars)","2019 Jul",16597
"1257","Malta (Thousand Dollars)","2019 Jun",18712
"1258","Malta (Thousand Dollars)","2019 May",19867
"1259","Malta (Thousand Dollars)","2019 Apr",17329
"1260","Malta (Thousand Dollars)","2019 Mar",20201
"1261","Malta (Thousand Dollars)","2019 Feb",21070
"1262","Malta (Thousand Dollars)","2019 Jan",85336
"1263","Malta (Thousand Dollars)","2018 Dec",20514
"1264","Malta (Thousand Dollars)","2018 Nov",138928
"1265","Malta (Thousand Dollars)","2018 Oct",37601
"1266","Malta (Thousand Dollars)","2018 Sep",43182
"1267","Malta (Thousand Dollars)","2018 Aug",56970
"1268","Malta (Thousand Dollars)","2018 Jul",44622
"1269","Malta (Thousand Dollars)","2018 Jun",52712
"1270","Malta (Thousand Dollars)","2018 May",61255
"1271","Malta (Thousand Dollars)","2018 Apr",16163
"1272","Malta (Thousand Dollars)","2018 Mar",44524
"1273","Malta (Thousand Dollars)","2018 Feb",18667
"1274","Malta (Thousand Dollars)","2018 Jan",16896
"1275","Germany, Democratic Republic Of (Thousand Dollars)","2022 Jan",0
"1276","Germany, Democratic Republic Of (Thousand Dollars)","2021 Dec",0
"1277","Germany, Democratic Republic Of (Thousand Dollars)","2021 Nov",0
"1278","Germany, Democratic Republic Of (Thousand Dollars)","2021 Oct",0
"1279","Germany, Democratic Republic Of (Thousand Dollars)","2021 Sep",0
"1280","Germany, Democratic Republic Of (Thousand Dollars)","2021 Aug",0
"1281","Germany, Democratic Republic Of (Thousand Dollars)","2021 Jul",0
"1282","Germany, Democratic Republic Of (Thousand Dollars)","2021 Jun",0
"1283","Germany, Democratic Republic Of (Thousand Dollars)","2021 May",0
"1284","Germany, Democratic Republic Of (Thousand Dollars)","2021 Apr",0
"1285","Germany, Democratic Republic Of (Thousand Dollars)","2021 Mar",0
"1286","Germany, Democratic Republic Of (Thousand Dollars)","2021 Feb",0
"1287","Germany, Democratic Republic Of (Thousand Dollars)","2021 Jan",0
"1288","Germany, Democratic Republic Of (Thousand Dollars)","2020 Dec",0
"1289","Germany, Democratic Republic Of (Thousand Dollars)","2020 Nov",0
"1290","Germany, Democratic Republic Of (Thousand Dollars)","2020 Oct",0
"1291","Germany, Democratic Republic Of (Thousand Dollars)","2020 Sep",0
"1292","Germany, Democratic Republic Of (Thousand Dollars)","2020 Aug",0
"1293","Germany, Democratic Republic Of (Thousand Dollars)","2020 Jul",0
"1294","Germany, Democratic Republic Of (Thousand Dollars)","2020 Jun",0
"1295","Germany, Democratic Republic Of (Thousand Dollars)","2020 May",0
"1296","Germany, Democratic Republic Of (Thousand Dollars)","2020 Apr",0
"1297","Germany, Democratic Republic Of (Thousand Dollars)","2020 Mar",0
"1298","Germany, Democratic Republic Of (Thousand Dollars)","2020 Feb",0
"1299","Germany, Democratic Republic Of (Thousand Dollars)","2020 Jan",0
"1300","Germany, Democratic Republic Of (Thousand Dollars)","2019 Dec",0
"1301","Germany, Democratic Republic Of (Thousand Dollars)","2019 Nov",0
"1302","Germany, Democratic Republic Of (Thousand Dollars)","2019 Oct",0
"1303","Germany, Democratic Republic Of (Thousand Dollars)","2019 Sep",0
"1304","Germany, Democratic Republic Of (Thousand Dollars)","2019 Aug",0
"1305","Germany, Democratic Republic Of (Thousand Dollars)","2019 Jul",0
"1306","Germany, Democratic Republic Of (Thousand Dollars)","2019 Jun",0
"1307","Germany, Democratic Republic Of (Thousand Dollars)","2019 May",0
"1308","Germany, Democratic Republic Of (Thousand Dollars)","2019 Apr",0
"1309","Germany, Democratic Republic Of (Thousand Dollars)","2019 Mar",0
"1310","Germany, Democratic Republic Of (Thousand Dollars)","2019 Feb",0
"1311","Germany, Democratic Republic Of (Thousand Dollars)","2019 Jan",0
"1312","Germany, Democratic Republic Of (Thousand Dollars)","2018 Dec",0
"1313","Germany, Democratic Republic Of (Thousand Dollars)","2018 Nov",0
"1314","Germany, Democratic Republic Of (Thousand Dollars)","2018 Oct",0
"1315","Germany, Democratic Republic Of (Thousand Dollars)","2018 Sep",0
"1316","Germany, Democratic Republic Of (Thousand Dollars)","2018 Aug",0
"1317","Germany, Democratic Republic Of (Thousand Dollars)","2018 Jul",0
"1318","Germany, Democratic Republic Of (Thousand Dollars)","2018 Jun",0
"1319","Germany, Democratic Republic Of (Thousand Dollars)","2018 May",0
"1320","Germany, Democratic Republic Of (Thousand Dollars)","2018 Apr",0
"1321","Germany, Democratic Republic Of (Thousand Dollars)","2018 Mar",0
"1322","Germany, Democratic Republic Of (Thousand Dollars)","2018 Feb",0
"1323","Germany, Democratic Republic Of (Thousand Dollars)","2018 Jan",0
"1324","Hungary (Thousand Dollars)","2022 Jan",37510
"1325","Hungary (Thousand Dollars)","2021 Dec",36759
"1326","Hungary (Thousand Dollars)","2021 Nov",33511
"1327","Hungary (Thousand Dollars)","2021 Oct",42209
"1328","Hungary (Thousand Dollars)","2021 Sep",37453
"1329","Hungary (Thousand Dollars)","2021 Aug",45149
"1330","Hungary (Thousand Dollars)","2021 Jul",46002
"1331","Hungary (Thousand Dollars)","2021 Jun",50593
"1332","Hungary (Thousand Dollars)","2021 May",52466
"1333","Hungary (Thousand Dollars)","2021 Apr",42392
"1334","Hungary (Thousand Dollars)","2021 Mar",42244
"1335","Hungary (Thousand Dollars)","2021 Feb",26286
"1336","Hungary (Thousand Dollars)","2021 Jan",34167
"1337","Hungary (Thousand Dollars)","2020 Dec",52883
"1338","Hungary (Thousand Dollars)","2020 Nov",43674
"1339","Hungary (Thousand Dollars)","2020 Oct",42690
"1340","Hungary (Thousand Dollars)","2020 Sep",36664
"1341","Hungary (Thousand Dollars)","2020 Aug",29737
"1342","Hungary (Thousand Dollars)","2020 Jul",34092
"1343","Hungary (Thousand Dollars)","2020 Jun",29820
"1344","Hungary (Thousand Dollars)","2020 May",21876
"1345","Hungary (Thousand Dollars)","2020 Apr",30516
"1346","Hungary (Thousand Dollars)","2020 Mar",35228
"1347","Hungary (Thousand Dollars)","2020 Feb",25341
"1348","Hungary (Thousand Dollars)","2020 Jan",24246
"1349","Hungary (Thousand Dollars)","2019 Dec",35761
"1350","Hungary (Thousand Dollars)","2019 Nov",32852
"1351","Hungary (Thousand Dollars)","2019 Oct",31459
"1352","Hungary (Thousand Dollars)","2019 Sep",33946
"1353","Hungary (Thousand Dollars)","2019 Aug",32455
"1354","Hungary (Thousand Dollars)","2019 Jul",33065
"1355","Hungary (Thousand Dollars)","2019 Jun",31744
"1356","Hungary (Thousand Dollars)","2019 May",31431
"1357","Hungary (Thousand Dollars)","2019 Apr",29555
"1358","Hungary (Thousand Dollars)","2019 Mar",31273
"1359","Hungary (Thousand Dollars)","2019 Feb",26536
"1360","Hungary (Thousand Dollars)","2019 Jan",30319
"1361","Hungary (Thousand Dollars)","2018 Dec",30391
"1362","Hungary (Thousand Dollars)","2018 Nov",32771
"1363","Hungary (Thousand Dollars)","2018 Oct",37652
"1364","Hungary (Thousand Dollars)","2018 Sep",27405
"1365","Hungary (Thousand Dollars)","2018 Aug",30511
"1366","Hungary (Thousand Dollars)","2018 Jul",39682
"1367","Hungary (Thousand Dollars)","2018 Jun",33319
"1368","Hungary (Thousand Dollars)","2018 May",35143
"1369","Hungary (Thousand Dollars)","2018 Apr",30793
"1370","Hungary (Thousand Dollars)","2018 Mar",31148
"1371","Hungary (Thousand Dollars)","2018 Feb",36429
"1372","Hungary (Thousand Dollars)","2018 Jan",34417
"1373","Poland (Thousand Dollars)","2022 Jan",60536
"1374","Poland (Thousand Dollars)","2021 Dec",79301
"1375","Poland (Thousand Dollars)","2021 Nov",67425
"1376","Poland (Thousand Dollars)","2021 Oct",64253
"1377","Poland (Thousand Dollars)","2021 Sep",65538
"1378","Poland (Thousand Dollars)","2021 Aug",61559
"1379","Poland (Thousand Dollars)","2021 Jul",57666
"1380","Poland (Thousand Dollars)","2021 Jun",58077
"1381","Poland (Thousand Dollars)","2021 May",53098
"1382","Poland (Thousand Dollars)","2021 Apr",61091
"1383","Poland (Thousand Dollars)","2021 Mar",59145
"1384","Poland (Thousand Dollars)","2021 Feb",45736
"1385","Poland (Thousand Dollars)","2021 Jan",47566
"1386","Poland (Thousand Dollars)","2020 Dec",57325
"1387","Poland (Thousand Dollars)","2020 Nov",53148
"1388","Poland (Thousand Dollars)","2020 Oct",45656
"1389","Poland (Thousand Dollars)","2020 Sep",50657
"1390","Poland (Thousand Dollars)","2020 Aug",39813
"1391","Poland (Thousand Dollars)","2020 Jul",38295
"1392","Poland (Thousand Dollars)","2020 Jun",40937
"1393","Poland (Thousand Dollars)","2020 May",35833
"1394","Poland (Thousand Dollars)","2020 Apr",49027
"1395","Poland (Thousand Dollars)","2020 Mar",53397
"1396","Poland (Thousand Dollars)","2020 Feb",58527
"1397","Poland (Thousand Dollars)","2020 Jan",50706
"1398","Poland (Thousand Dollars)","2019 Dec",66673
"1399","Poland (Thousand Dollars)","2019 Nov",53554
"1400","Poland (Thousand Dollars)","2019 Oct",52385
"1401","Poland (Thousand Dollars)","2019 Sep",47290
"1402","Poland (Thousand Dollars)","2019 Aug",52423
"1403","Poland (Thousand Dollars)","2019 Jul",46819
"1404","Poland (Thousand Dollars)","2019 Jun",55726
"1405","Poland (Thousand Dollars)","2019 May",98604
"1406","Poland (Thousand Dollars)","2019 Apr",39586
"1407","Poland (Thousand Dollars)","2019 Mar",60345
"1408","Poland (Thousand Dollars)","2019 Feb",39173
"1409","Poland (Thousand Dollars)","2019 Jan",34881
"1410","Poland (Thousand Dollars)","2018 Dec",44446
"1411","Poland (Thousand Dollars)","2018 Nov",74256
"1412","Poland (Thousand Dollars)","2018 Oct",44178
"1413","Poland (Thousand Dollars)","2018 Sep",47957
"1414","Poland (Thousand Dollars)","2018 Aug",62013
"1415","Poland (Thousand Dollars)","2018 Jul",45273
"1416","Poland (Thousand Dollars)","2018 Jun",73368
"1417","Poland (Thousand Dollars)","2018 May",65156
"1418","Poland (Thousand Dollars)","2018 Apr",49757
"1419","Poland (Thousand Dollars)","2018 Mar",45060
"1420","Poland (Thousand Dollars)","2018 Feb",41511
"1421","Poland (Thousand Dollars)","2018 Jan",51355
"1422","Estonia (Thousand Dollars)","2022 Jan",6857
"1423","Estonia (Thousand Dollars)","2021 Dec",8009
"1424","Estonia (Thousand Dollars)","2021 Nov",74653
"1425","Estonia (Thousand Dollars)","2021 Oct",4677
"1426","Estonia (Thousand Dollars)","2021 Sep",45509
"1427","Estonia (Thousand Dollars)","2021 Aug",6282
"1428","Estonia (Thousand Dollars)","2021 Jul",6312
"1429","Estonia (Thousand Dollars)","2021 Jun",4159
"1430","Estonia (Thousand Dollars)","2021 May",3983
"1431","Estonia (Thousand Dollars)","2021 Apr",6049
"1432","Estonia (Thousand Dollars)","2021 Mar",7288
"1433","Estonia (Thousand Dollars)","2021 Feb",2736
"1434","Estonia (Thousand Dollars)","2021 Jan",2493
"1435","Estonia (Thousand Dollars)","2020 Dec",2410
"1436","Estonia (Thousand Dollars)","2020 Nov",3652
"1437","Estonia (Thousand Dollars)","2020 Oct",3287
"1438","Estonia (Thousand Dollars)","2020 Sep",3284
"1439","Estonia (Thousand Dollars)","2020 Aug",2064
"1440","Estonia (Thousand Dollars)","2020 Jul",1948
"1441","Estonia (Thousand Dollars)","2020 Jun",4345
"1442","Estonia (Thousand Dollars)","2020 May",1931
"1443","Estonia (Thousand Dollars)","2020 Apr",2888
"1444","Estonia (Thousand Dollars)","2020 Mar",4441
"1445","Estonia (Thousand Dollars)","2020 Feb",4914
"1446","Estonia (Thousand Dollars)","2020 Jan",4433
"1447","Estonia (Thousand Dollars)","2019 Dec",11965
"1448","Estonia (Thousand Dollars)","2019 Nov",24256
"1449","Estonia (Thousand Dollars)","2019 Oct",6474
"1450","Estonia (Thousand Dollars)","2019 Sep",2521
"1451","Estonia (Thousand Dollars)","2019 Aug",3775
"1452","Estonia (Thousand Dollars)","2019 Jul",1954
"1453","Estonia (Thousand Dollars)","2019 Jun",1487
"1454","Estonia (Thousand Dollars)","2019 May",3752
"1455","Estonia (Thousand Dollars)","2019 Apr",4377
"1456","Estonia (Thousand Dollars)","2019 Mar",5156
"1457","Estonia (Thousand Dollars)","2019 Feb",4418
"1458","Estonia (Thousand Dollars)","2019 Jan",54600
"1459","Estonia (Thousand Dollars)","2018 Dec",5924
"1460","Estonia (Thousand Dollars)","2018 Nov",39767
"1461","Estonia (Thousand Dollars)","2018 Oct",2746
"1462","Estonia (Thousand Dollars)","2018 Sep",2513
"1463","Estonia (Thousand Dollars)","2018 Aug",5525
"1464","Estonia (Thousand Dollars)","2018 Jul",1266
"1465","Estonia (Thousand Dollars)","2018 Jun",68467
"1466","Estonia (Thousand Dollars)","2018 May",1544
"1467","Estonia (Thousand Dollars)","2018 Apr",1598
"1468","Estonia (Thousand Dollars)","2018 Mar",2045
"1469","Estonia (Thousand Dollars)","2018 Feb",2240
"1470","Estonia (Thousand Dollars)","2018 Jan",2184
"1471","Latvia (Thousand Dollars)","2022 Jan",3324
"1472","Latvia (Thousand Dollars)","2021 Dec",4295
"1473","Latvia (Thousand Dollars)","2021 Nov",2570
"1474","Latvia (Thousand Dollars)","2021 Oct",2699
"1475","Latvia (Thousand Dollars)","2021 Sep",2318
"1476","Latvia (Thousand Dollars)","2021 Aug",4260
"1477","Latvia (Thousand Dollars)","2021 Jul",3624
"1478","Latvia (Thousand Dollars)","2021 Jun",4128
"1479","Latvia (Thousand Dollars)","2021 May",3763
"1480","Latvia (Thousand Dollars)","2021 Apr",1546
"1481","Latvia (Thousand Dollars)","2021 Mar",2241
"1482","Latvia (Thousand Dollars)","2021 Feb",1466
"1483","Latvia (Thousand Dollars)","2021 Jan",1346
"1484","Latvia (Thousand Dollars)","2020 Dec",1887
"1485","Latvia (Thousand Dollars)","2020 Nov",2216
"1486","Latvia (Thousand Dollars)","2020 Oct",1389
"1487","Latvia (Thousand Dollars)","2020 Sep",1971
"1488","Latvia (Thousand Dollars)","2020 Aug",1024
"1489","Latvia (Thousand Dollars)","2020 Jul",1671
"1490","Latvia (Thousand Dollars)","2020 Jun",2004
