"","Data Series","Time","Imports"
"93","America (Million Dollars)","2018 Jun",5961.2
"94","America (Million Dollars)","2018 May",5661.3
"95","America (Million Dollars)","2018 Apr",5122.6
"96","America (Million Dollars)","2018 Mar",5316.7
"97","America (Million Dollars)","2018 Feb",4113.3
"98","America (Million Dollars)","2018 Jan",4706.6
"99","Asia (Million Dollars)","2022 Jan",35018.8
"100","Asia (Million Dollars)","2021 Dec",39140.3
"101","Asia (Million Dollars)","2021 Nov",35949.6
"102","Asia (Million Dollars)","2021 Oct",33552.7
"103","Asia (Million Dollars)","2021 Sep",32533.4
"104","Asia (Million Dollars)","2021 Aug",31492.5
"105","Asia (Million Dollars)","2021 Jul",31645
"106","Asia (Million Dollars)","2021 Jun",31021
"107","Asia (Million Dollars)","2021 May",28497.2
"108","Asia (Million Dollars)","2021 Apr",30623.1
"109","Asia (Million Dollars)","2021 Mar",31367.8
"110","Asia (Million Dollars)","2021 Feb",26122.6
"111","Asia (Million Dollars)","2021 Jan",27413.7
"112","Asia (Million Dollars)","2020 Dec",28200.4
"113","Asia (Million Dollars)","2020 Nov",25844.9
"114","Asia (Million Dollars)","2020 Oct",26127.9
"115","Asia (Million Dollars)","2020 Sep",27823.2
"116","Asia (Million Dollars)","2020 Aug",26052.3
"117","Asia (Million Dollars)","2020 Jul",26767.4
"118","Asia (Million Dollars)","2020 Jun",24779.3
"119","Asia (Million Dollars)","2020 May",21718.9
"120","Asia (Million Dollars)","2020 Apr",24534.5
"121","Asia (Million Dollars)","2020 Mar",26783.6
"122","Asia (Million Dollars)","2020 Feb",26588.1
"123","Asia (Million Dollars)","2020 Jan",27128.1
"124","Asia (Million Dollars)","2019 Dec",27688.7
"125","Asia (Million Dollars)","2019 Nov",27905
"126","Asia (Million Dollars)","2019 Oct",28378.3
"127","Asia (Million Dollars)","2019 Sep",26350.3
"128","Asia (Million Dollars)","2019 Aug",26671.9
"129","Asia (Million Dollars)","2019 Jul",28473.3
"130","Asia (Million Dollars)","2019 Jun",26052.4
"131","Asia (Million Dollars)","2019 May",27541
"132","Asia (Million Dollars)","2019 Apr",26807.2
"133","Asia (Million Dollars)","2019 Mar",26773.8
"134","Asia (Million Dollars)","2019 Feb",22762.9
"135","Asia (Million Dollars)","2019 Jan",27643.4
"136","Asia (Million Dollars)","2018 Dec",27352.6
"137","Asia (Million Dollars)","2018 Nov",29765.8
"138","Asia (Million Dollars)","2018 Oct",31710.5
"139","Asia (Million Dollars)","2018 Sep",27426.4
"140","Asia (Million Dollars)","2018 Aug",28371.5
"141","Asia (Million Dollars)","2018 Jul",29381.2
"142","Asia (Million Dollars)","2018 Jun",26804
"143","Asia (Million Dollars)","2018 May",28718.4
"144","Asia (Million Dollars)","2018 Apr",26249.7
"145","Asia (Million Dollars)","2018 Mar",26481.1
"146","Asia (Million Dollars)","2018 Feb",23434.2
"147","Asia (Million Dollars)","2018 Jan",26477
"148","Europe (Million Dollars)","2022 Jan",7835.9
"149","Europe (Million Dollars)","2021 Dec",7586.3
"150","Europe (Million Dollars)","2021 Nov",6872
"151","Europe (Million Dollars)","2021 Oct",6714.8
"152","Europe (Million Dollars)","2021 Sep",6882.1
"153","Europe (Million Dollars)","2021 Aug",5919.4
"154","Europe (Million Dollars)","2021 Jul",6919.2
"155","Europe (Million Dollars)","2021 Jun",7011.2
